"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","27.05.2025","11:15:00","27.05.2025","12:50:00","Ложь","Истина","27.05.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","03.06.2025","11:15:00","03.06.2025","12:50:00","Ложь","Истина","03.06.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ІМ Екз DL, DL_1 ПЗПІ-23-5","10.06.2025","11:15:00","10.06.2025","12:50:00","Ложь","Истина","10.06.2025","11:10:00","2","Обычная","ІМ Екз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ПрПА Екз DL ПЗПІ-23-5","24.06.2025","11:15:00","24.06.2025","12:50:00","Ложь","Истина","24.06.2025","11:10:00","2","Обычная","ПрПА Екз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-1 - *ВІА Зал DL *ВІА(ПЗПІ-23-)-1","10.06.2025","13:10:00","10.06.2025","14:45:00","Ложь","Истина","10.06.2025","13:05:00","2","Обычная","*ВІА Зал DL *ВІА(ПЗПІ-23-)-1","Обычный"
"ПЗПІ-23-1 - ПрПА Екз DL ПЗПІ-23-1","17.06.2025","13:10:00","17.06.2025","14:45:00","Ложь","Истина","17.06.2025","13:05:00","2","Обычная","ПрПА Екз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","11.02.2025","13:10:00","11.02.2025","14:45:00","Ложь","Истина","11.02.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","18.02.2025","13:10:00","18.02.2025","14:45:00","Ложь","Истина","18.02.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","25.02.2025","13:10:00","25.02.2025","14:45:00","Ложь","Истина","25.02.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","04.03.2025","13:10:00","04.03.2025","14:45:00","Ложь","Истина","04.03.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","11.03.2025","13:10:00","11.03.2025","14:45:00","Ложь","Истина","11.03.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","18.03.2025","13:10:00","18.03.2025","14:45:00","Ложь","Истина","18.03.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","25.03.2025","13:10:00","25.03.2025","14:45:00","Ложь","Истина","25.03.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","01.04.2025","13:10:00","01.04.2025","14:45:00","Ложь","Истина","01.04.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","08.04.2025","13:10:00","08.04.2025","14:45:00","Ложь","Истина","08.04.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","15.04.2025","13:10:00","15.04.2025","14:45:00","Ложь","Истина","15.04.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","22.04.2025","13:10:00","22.04.2025","14:45:00","Ложь","Истина","22.04.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","29.04.2025","13:10:00","29.04.2025","14:45:00","Ложь","Истина","29.04.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","06.05.2025","13:10:00","06.05.2025","14:45:00","Ложь","Истина","06.05.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","13.05.2025","13:10:00","13.05.2025","14:45:00","Ложь","Истина","13.05.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","20.05.2025","13:10:00","20.05.2025","14:45:00","Ложь","Истина","20.05.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ІМ Пз DL ПЗПІ-23-2","27.05.2025","13:10:00","27.05.2025","14:45:00","Ложь","Истина","27.05.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","11.02.2025","13:10:00","11.02.2025","14:45:00","Ложь","Истина","11.02.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","18.02.2025","13:10:00","18.02.2025","14:45:00","Ложь","Истина","18.02.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","25.02.2025","13:10:00","25.02.2025","14:45:00","Ложь","Истина","25.02.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","04.03.2025","13:10:00","04.03.2025","14:45:00","Ложь","Истина","04.03.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","18.03.2025","13:10:00","18.03.2025","14:45:00","Ложь","Истина","18.03.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","25.03.2025","13:10:00","25.03.2025","14:45:00","Ложь","Истина","25.03.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","01.04.2025","13:10:00","01.04.2025","14:45:00","Ложь","Истина","01.04.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","15.04.2025","13:10:00","15.04.2025","14:45:00","Ложь","Истина","15.04.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","22.04.2025","13:10:00","22.04.2025","14:45:00","Ложь","Истина","22.04.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","29.04.2025","13:10:00","29.04.2025","14:45:00","Ложь","Истина","29.04.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","13.05.2025","13:10:00","13.05.2025","14:45:00","Ложь","Истина","13.05.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","20.05.2025","13:10:00","20.05.2025","14:45:00","Ложь","Истина","20.05.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ІМ Пз DL ПЗПІ-23-3","27.05.2025","13:10:00","27.05.2025","14:45:00","Ложь","Истина","27.05.2025","13:05:00","2","Обычная","ІМ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-4 - Філ Пз DL ПЗПІ-23-4","04.03.2025","13:10:00","04.03.2025","14:45:00","Ложь","Истина","04.03.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - Філ Пз DL ПЗПІ-23-4","18.03.2025","13:10:00","18.03.2025","14:45:00","Ложь","Истина","18.03.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - Філ Пз DL ПЗПІ-23-4","01.04.2025","13:10:00","01.04.2025","14:45:00","Ложь","Истина","01.04.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - Філ Пз DL ПЗПІ-23-4","15.04.2025","13:10:00","15.04.2025","14:45:00","Ложь","Истина","15.04.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - Філ Пз DL ПЗПІ-23-4","29.04.2025","13:10:00","29.04.2025","14:45:00","Ложь","Истина","29.04.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - Філ Пз DL ПЗПІ-23-4","13.05.2025","13:10:00","13.05.2025","14:45:00","Ложь","Истина","13.05.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - Філ Пз DL ПЗПІ-23-4","27.05.2025","13:10:00","27.05.2025","14:45:00","Ложь","Истина","27.05.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - Філ Пз DL ПЗПІ-23-4","03.06.2025","13:10:00","03.06.2025","14:45:00","Ложь","Истина","03.06.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - Філ Конс DL ПЗПІ-23-4","10.06.2025","13:10:00","10.06.2025","14:45:00","Ложь","Истина","10.06.2025","13:05:00","2","Обычная","Філ Конс DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","11.02.2025","13:10:00","11.02.2025","14:45:00","Ложь","Истина","11.02.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - Філ Пз DL ПЗПІ-23-5","18.02.2025","13:10:00","18.02.2025","14:45:00","Ложь","Истина","18.02.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - Філ Пз DL ПЗПІ-23-5","25.02.2025","13:10:00","25.02.2025","14:45:00","Ложь","Истина","25.02.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","04.03.2025","13:10:00","04.03.2025","14:45:00","Ложь","Истина","04.03.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - Філ Пз DL ПЗПІ-23-5","11.03.2025","13:10:00","11.03.2025","14:45:00","Ложь","Истина","11.03.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","18.03.2025","13:10:00","18.03.2025","14:45:00","Ложь","Истина","18.03.2025","13:05:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - Філ Пз DL ПЗПІ-23-5","25.03.2025","13:10:00","25.03.2025","14:45:00","Ложь","Истина","25.03.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","01.04.2025","13:10:00","01.04.2025","14:45:00","Ложь","Истина","01.04.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - Філ Пз DL ПЗПІ-23-5","08.04.2025","13:10:00","08.04.2025","14:45:00","Ложь","Истина","08.04.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","15.04.2025","13:10:00","15.04.2025","14:45:00","Ложь","Истина","15.04.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - Філ Пз DL ПЗПІ-23-5","22.04.2025","13:10:00","22.04.2025","14:45:00","Ложь","Истина","22.04.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","29.04.2025","13:10:00","29.04.2025","14:45:00","Ложь","Истина","29.04.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - Філ Пз DL ПЗПІ-23-5","06.05.2025","13:10:00","06.05.2025","14:45:00","Ложь","Истина","06.05.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","13.05.2025","13:10:00","13.05.2025","14:45:00","Ложь","Истина","13.05.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - Філ Пз DL ПЗПІ-23-5","20.05.2025","13:10:00","20.05.2025","14:45:00","Ложь","Истина","20.05.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","27.05.2025","13:10:00","27.05.2025","14:45:00","Ложь","Истина","27.05.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ФВ Пз DL ПЗПІ-23-5","03.06.2025","13:10:00","03.06.2025","14:45:00","Ложь","Истина","03.06.2025","13:05:00","2","Обычная","ФВ Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Екз DL ПЗПІ-23-5","17.06.2025","13:10:00","17.06.2025","14:45:00","Ложь","Истина","17.06.2025","13:05:00","2","Обычная","ОС Екз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-1 - ОС Конс DL ПЗПІ-23-1","10.06.2025","14:55:00","10.06.2025","16:30:00","Ложь","Истина","10.06.2025","14:50:00","2","Обычная","ОС Конс DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ПрПА Екз DL ПЗПІ-23-1","17.06.2025","14:55:00","17.06.2025","16:30:00","Ложь","Истина","17.06.2025","14:50:00","2","Обычная","ПрПА Екз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-2 - ОС Пз DL ПЗПІ-23-2","25.02.2025","14:55:00","25.02.2025","16:30:00","Ложь","Истина","25.02.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ОС Пз DL ПЗПІ-23-2","11.03.2025","14:55:00","11.03.2025","16:30:00","Ложь","Истина","11.03.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ОС Пз DL ПЗПІ-23-2","25.03.2025","14:55:00","25.03.2025","16:30:00","Ложь","Истина","25.03.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ОС Пз DL ПЗПІ-23-2","08.04.2025","14:55:00","08.04.2025","16:30:00","Ложь","Истина","08.04.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ОС Пз DL ПЗПІ-23-2","22.04.2025","14:55:00","22.04.2025","16:30:00","Ложь","Истина","22.04.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ОС Пз DL ПЗПІ-23-2","06.05.2025","14:55:00","06.05.2025","16:30:00","Ложь","Истина","06.05.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-3 - ОПJа Пз DL ПЗПІ-23-3","25.02.2025","14:55:00","25.02.2025","16:30:00","Ложь","Истина","25.02.2025","14:50:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","11.03.2025","14:55:00","11.03.2025","16:30:00","Ложь","Истина","11.03.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","01.04.2025","14:55:00","01.04.2025","16:30:00","Ложь","Истина","01.04.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Пз DL ПЗПІ-23-3","22.04.2025","14:55:00","22.04.2025","16:30:00","Ложь","Истина","22.04.2025","14:50:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","06.05.2025","14:55:00","06.05.2025","16:30:00","Ложь","Истина","06.05.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","20.05.2025","14:55:00","20.05.2025","16:30:00","Ложь","Истина","20.05.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","03.06.2025","14:55:00","03.06.2025","16:30:00","Ложь","Истина","03.06.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-4 - ОПJа Пз DL ПЗПІ-23-4","04.03.2025","14:55:00","04.03.2025","16:30:00","Ложь","Истина","04.03.2025","14:50:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","18.03.2025","14:55:00","18.03.2025","16:30:00","Ложь","Истина","18.03.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","01.04.2025","14:55:00","01.04.2025","16:30:00","Ложь","Истина","01.04.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Пз DL ПЗПІ-23-4","15.04.2025","14:55:00","15.04.2025","16:30:00","Ложь","Истина","15.04.2025","14:50:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","29.04.2025","14:55:00","29.04.2025","16:30:00","Ложь","Истина","29.04.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","13.05.2025","14:55:00","13.05.2025","16:30:00","Ложь","Истина","13.05.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","27.05.2025","14:55:00","27.05.2025","16:30:00","Ложь","Истина","27.05.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","04.03.2025","14:55:00","04.03.2025","16:30:00","Ложь","Истина","04.03.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","01.04.2025","14:55:00","01.04.2025","16:30:00","Ложь","Истина","01.04.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","15.04.2025","14:55:00","15.04.2025","16:30:00","Ложь","Истина","15.04.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","29.04.2025","14:55:00","29.04.2025","16:30:00","Ложь","Истина","29.04.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","13.05.2025","14:55:00","13.05.2025","16:30:00","Ложь","Истина","13.05.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Екз DL ПЗПІ-23-5","17.06.2025","14:55:00","17.06.2025","16:30:00","Ложь","Истина","17.06.2025","14:50:00","2","Обычная","ОС Екз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-1 - ПрПА Екз DL ПЗПІ-23-1","17.06.2025","16:40:00","17.06.2025","18:15:00","Ложь","Истина","17.06.2025","16:35:00","2","Обычная","ПрПА Екз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-2 - ОС Конс DL ПЗПІ-23-2","10.06.2025","16:40:00","10.06.2025","18:15:00","Ложь","Истина","10.06.2025","16:35:00","2","Обычная","ОС Конс DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-3 - ОПJа Пз DL ПЗПІ-23-3","25.02.2025","16:40:00","25.02.2025","18:15:00","Ложь","Истина","25.02.2025","16:35:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","11.03.2025","16:40:00","11.03.2025","18:15:00","Ложь","Истина","11.03.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","01.04.2025","16:40:00","01.04.2025","18:15:00","Ложь","Истина","01.04.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Пз DL ПЗПІ-23-3","22.04.2025","16:40:00","22.04.2025","18:15:00","Ложь","Истина","22.04.2025","16:35:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","06.05.2025","16:40:00","06.05.2025","18:15:00","Ложь","Истина","06.05.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","20.05.2025","16:40:00","20.05.2025","18:15:00","Ложь","Истина","20.05.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","03.06.2025","16:40:00","03.06.2025","18:15:00","Ложь","Истина","03.06.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-4 - ОПJа Пз DL ПЗПІ-23-4","04.03.2025","16:40:00","04.03.2025","18:15:00","Ложь","Истина","04.03.2025","16:35:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","18.03.2025","16:40:00","18.03.2025","18:15:00","Ложь","Истина","18.03.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","01.04.2025","16:40:00","01.04.2025","18:15:00","Ложь","Истина","01.04.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Пз DL ПЗПІ-23-4","15.04.2025","16:40:00","15.04.2025","18:15:00","Ложь","Истина","15.04.2025","16:35:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","29.04.2025","16:40:00","29.04.2025","18:15:00","Ложь","Истина","29.04.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","13.05.2025","16:40:00","13.05.2025","18:15:00","Ложь","Истина","13.05.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","27.05.2025","16:40:00","27.05.2025","18:15:00","Ложь","Истина","27.05.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-5 - ОС Екз DL ПЗПІ-23-5","17.06.2025","16:40:00","17.06.2025","18:15:00","Ложь","Истина","17.06.2025","16:35:00","2","Обычная","ОС Екз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-1 - *ВІА Пз DL *ВІА(ПЗПІ-23-)-1","05.03.2025","07:45:00","05.03.2025","09:20:00","Ложь","Истина","05.03.2025","07:40:00","2","Обычная","*ВІА Пз DL *ВІА(ПЗПІ-23-)-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","12.03.2025","07:45:00","12.03.2025","09:20:00","Ложь","Истина","12.03.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","26.03.2025","07:45:00","26.03.2025","09:20:00","Ложь","Истина","26.03.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ІМ2п Пз DL ПЗПІ-23-1","02.04.2025","07:45:00","02.04.2025","09:20:00","Ложь","Истина","02.04.2025","07:40:00","2","Обычная","ІМ2п Пз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","09.04.2025","07:45:00","09.04.2025","09:20:00","Ложь","Истина","09.04.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","23.04.2025","07:45:00","23.04.2025","09:20:00","Ложь","Истина","23.04.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","07.05.2025","07:45:00","07.05.2025","09:20:00","Ложь","Истина","07.05.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","21.05.2025","07:45:00","21.05.2025","09:20:00","Ложь","Истина","21.05.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","28.05.2025","07:45:00","28.05.2025","09:20:00","Ложь","Истина","28.05.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","04.06.2025","07:45:00","04.06.2025","09:20:00","Ложь","Истина","04.06.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
